,artist_name,track_uri,artist_uri,track_name,album_uri,duration,album_name,artists
525,Vanessa Carlton,spotify:track:5y69gQtK33qxb8a24ACkCy,spotify:artist:5ILrArfIV0tMURcHJN8Q07,A Thousand Miles,spotify:album:7D6BFTArx2ajtkKRVXIKO2,237493,Be Not Nobody,Vanessa Carlton
526,Christine and the Queens,spotify:track:2ILilOGEh31uHITYFazrLM,spotify:artist:04vj3iPUiVh5melWr0w3xT,Tilted,spotify:album:0xWXamgZr4z2zSYrvcoOar,233247,Chaleur Humaine,Christine and the Queens
527,Miki Ratsula,spotify:track:4jt1LSZ6mQxufdrWzkrKoc,spotify:artist:3Yq0Ww7oAbgxcoOxthlS30,Radiant Warmth,spotify:album:44ER1zGyuw1MzYQLBnVPQZ,285407,Every Shade of Blue - EP,Miki Ratsula
528,phem,spotify:track:3H6de7vWCzmfkj5XB052Yu,spotify:artist:0MGJHTThvyAyqKuEAgPqDr,blinders,spotify:album:6dS8OBluMTDKFKszepTzJv,175983,blinders,phem
529,The Greeting Committee,spotify:track:7CrTWohCuzWE9VqeErADr8,spotify:artist:1MIe1z4RdqLqHSJsb7EBMm,She's A Gun,spotify:album:0l3LrcbSoZe3bFBNktXxYU,196821,Meeting People Is Easy,The Greeting Committee
530,Lovers,spotify:track:7puo4S8ClhmRBQoZ2Rqbi6,spotify:artist:0uRcRqK4PBk2LJBQ9TUq7q,Girl in the Grass,spotify:album:04AGkBRdeAH5coyV2rkY9U,258000,A Friend in the World,Lovers
531,Tiara Thomas,spotify:track:2I5iXD51j7CkVG8wrGqxNm,spotify:artist:69FykkhiqpzqeSNYRxc8BI,Retro 1's,spotify:album:2qzet4vhLtNVOrv2J1OYTr,173466,FWMM,Tiara Thomas
532,Lucy Spraggan,spotify:track:2TxcfaWqSgAep9enCCzjig,spotify:artist:3QLPy7F0m9XgChp2Lk9B3N,Fight for It,spotify:album:5otMKAaRkAAJk1PDcL7R5C,216920,I Hope You Don't Mind Me Writing,Lucy Spraggan
533,RoxXxan,spotify:track:5mgbIinNRlqTCFNU10VAM4,spotify:artist:4r6EpPgUwlfHiziwld4Dwd,Too Fucking Facety,spotify:album:2gUCSW2BCH6D4XSmEOm4dC,181342,Black Arkitec Presents Queenz Uv da Undaground,RoxXxan
534,Beth O'Reilly,spotify:track:5qWbdrM9ioSVfuDIrDqYt5,spotify:artist:4EElyIuQ7Tt8pIJatRZe42,Vignette,spotify:album:3Ef6f6kQ6uAtyhd1dRlAN0,243713,See You In November,Beth O'Reilly
535,Marika Hackman,spotify:track:6Qjk6ZEltFhFqCIU2cp4Yd,spotify:artist:5DGJC3n9DS0Y9eY5ul9y0O,Boyfriend,spotify:album:58IxxVGqidZ8sLWNKeknlH,239346,I'm Not Your Man (Deluxe),Marika Hackman
536,Asobi Seksu,spotify:track:4qfP4divr2At9B7GlYI1r2,spotify:artist:7vXdfh8G9fJVGvfUSkqf62,Trails,spotify:album:2e2UUeLy9wGgZByfYTSUek,240035,Trails,Asobi Seksu
537,Beatrice Eli,spotify:track:3B5Gcq2VDjfsT7nqQkN0J3,spotify:artist:1lzoEy8yiIBiHOuaO4h5Wj,That's Not Us,spotify:album:6Lelp5AaeRwLLX0HqbWJFF,283586,That's Not Us,Beatrice Eli
538,Gossip,spotify:track:48eUcHz6HlIXU8tVdv9Lk1,spotify:artist:3sFTupo9UGgrujjN21BjwR,Heavy Cross,spotify:album:5986Ox60Imwum9mn64LDPl,242773,Live In Liverpool / Music For Men,Gossip
539,God Is My Co-Pilot,spotify:track:6eY7QtqVFQ1rDBmVSLddOT,spotify:artist:595cF94SwW4pjAaXVzrRYp,Steal Yr GF,spotify:album:04LikfrZ5KAUJ9RyJb5nML,84346,The Best Of God Is My Co-pilot,God Is My Co-Pilot
540,Amanda Palmer,spotify:track:00cBbYhjnOBO0mO67EZHdB,spotify:artist:726Dh6A5VyDfAAQxilT6A0,The Killing Type,spotify:album:1HzlQAXKROb3KA4blk2a0e,269853,Theatre Is Evil (AUS/NZ Bonus Version),"Amanda Palmer, The Grand Theft Orchestra"
541,Amy Winehouse,spotify:track:6nLvaCZFR1wEzW3sIKpsnr,spotify:artist:6Q192DXotxtaysaqNPy5yR,"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",spotify:album:0E4xv5gPjykrwBgBZzI8XG,233733,Back To Black (Deluxe Edition),Amy Winehouse
542,Ladyhawke,spotify:track:1YhzlKAGZCgFmu3maqDQtl,spotify:artist:5TfnQ0Ai1cEbKY5katFK14,My Delirium,spotify:album:31AFNVRlzhlhqX9LCwPfHF,254480,Ladyhawke (Deluxe Edition),Ladyhawke
