artist_name,id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_pop,genres,track_pop,genres_list,subjectivity,polarity
girl in red,1BYZxKSf0aTxp8ZFoeyM3d,we fell in love in october,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.959,75,bedroom_pop bubblegrunge indie_pop norwegian_indie pop,84,"['bedroom_pop', 'bubblegrunge', 'indie_pop', 'norwegian_indie', 'pop']",high,Positive
Bobby Guard,6c9ylTezcoNKxWRnEVxbXF,Meshes of the Afternoon,0.671,0.543,6,-9.803,0,0.0278,0.328,3.64e-05,0.0941,0.256,114.991,5,unknown,4,['unknown'],low,Neutral
girl in red,1pUyZuge2qoSG1nzDxftQJ,two queens in a king sized bed,0.361,0.218,9,-14.989,1,0.0338,0.911,0.000577,0.0748,0.167,114.476,75,bedroom_pop bubblegrunge indie_pop norwegian_indie pop,62,"['bedroom_pop', 'bubblegrunge', 'indie_pop', 'norwegian_indie', 'pop']",low,Neutral
Bobby Guard,2p5wVHwLRvR37Iq27cc281,Can't Go Back,0.338,0.399,8,-8.802,1,0.0358,0.00238,0.129,0.0785,0.329,80.011,5,unknown,17,['unknown'],low,Neutral
Arjan Brandsma,0JviOURQuqLt6IMyCjkwgO,Pool Full of Sharks,0.499,0.106,9,-15.687,1,0.0377,0.972,0.000431,0.0918,0.312,123.769,0,unknown,0,['unknown'],high,Positive
Tawnted,4jRIKgidp6wFbrMcZPzfyW,Take Him Out,0.76,0.181,4,-21.36,0,0.0333,0.73,0.579,0.0799,0.334,139.957,37,unknown,9,['unknown'],low,Neutral
Rufus Wainwright,2lMq59nXGGPlbiOYLmckyE,Danny Boy,0.221,0.409,7,-10.781,1,0.0333,0.735,0.123,0.0803,0.397,86.796,52,canadian_pop chamber_pop melancholia piano_rock singer-songwriter,0,"['canadian_pop', 'chamber_pop', 'melancholia', 'piano_rock', 'singer-songwriter']",low,Neutral
Jens Lekman,08jsYBXCroPsmnFe0VtoBK,How Can I Tell Him,0.751,0.57,3,-8.744,1,0.0359,0.0303,9.98e-06,0.202,0.501,128.32,38,chamber_pop gothenburg_indie indie_pop swedish_indie_pop swedish_singer-songwriter,0,"['chamber_pop', 'gothenburg_indie', 'indie_pop', 'swedish_indie_pop', 'swedish_singer-songwriter']",low,Neutral
Jay Brannan,28RhfoyLKZDygmnedAaJQn,No Ship,0.762,0.612,5,-14.52,1,0.948,0.401,0.0,0.265,0.123,77.436,27,acoustic_pop,9,['acoustic_pop'],low,Neutral
Villagers,29cGfa8fGfVZActq8xVwNd,Little Bigot,0.608,0.447,9,-10.48,0,0.0254,0.9,0.521,0.0593,0.388,99.995,54,chamber_pop indie_folk indie_rock stomp_and_holler,16,"['chamber_pop', 'indie_folk', 'indie_rock', 'stomp_and_holler']",high,Negative
a balladeer,4jo0CdeljCiQMR1Xq4tf29,Mob Wife,0.533,0.44,8,-9.49,1,0.0265,0.756,1.76e-06,0.109,0.198,112.089,40,dutch_indie dutch_pop dutch_rock,22,"['dutch_indie', 'dutch_pop', 'dutch_rock']",low,Neutral
Antony and the Johnsons,09ZGF6mwJVzw5jxqbtT53E,Hope There's Someone,0.294,0.184,6,-10.421,1,0.0405,0.979,0.0115,0.143,0.0812,141.245,45,baroque_pop chamber_pop melancholia,0,"['baroque_pop', 'chamber_pop', 'melancholia']",low,Neutral
Lukas Clay,3Fve9HLY7qi0fnzXRYuR8k,Wasted Lies,0.237,0.292,5,-12.114,1,0.0419,0.583,0.00091,0.135,0.15,178.255,10,unknown,1,['unknown'],low,Negative
The Unbending Trees,0KOEBn2aQAlytdK8wKO89H,Alfred's Lovesong,0.554,0.191,4,-13.49,0,0.035,0.946,0.00589,0.0532,0.36,123.021,5,unknown,0,['unknown'],low,Neutral
Nuno Freitas,5Stenwg64cSyQG3zMDTdpF,Blue,0.376,0.28,2,-12.215,0,0.0385,0.845,0.00086,0.0699,0.0696,143.703,23,unknown,0,['unknown'],low,Neutral
K Anderson,48jBzw9xQyddW036qQsREk,14 Year Old Me,0.546,0.427,5,-10.482,0,0.152,0.526,0.0,0.113,0.438,170.131,11,indie_anthem-folk,27,['indie_anthem-folk'],low,Positive
Lukas Clay,1rjCRbXIs77TphczSeEofA,Wasted Lies - Reprise,0.284,0.237,5,-21.211,1,0.0409,0.662,0.168,0.0834,0.164,180.161,10,unknown,4,['unknown'],low,Negative
Jay Brannan,0m6wuhky6qGYJ9GTVaK9vD,Home,0.423,0.26,7,-10.438,1,0.0299,0.732,0.0,0.0867,0.276,111.356,27,acoustic_pop,0,['acoustic_pop'],low,Neutral
St. Vincent,1AuFtTcYdOsNmePbMCh9T4,New York - piano version,0.487,0.151,10,-16.769,1,0.0733,0.934,0.0,0.097,0.321,135.463,62,art_pop electropop etherpop indie_pop metropopolis,28,"['art_pop', 'electropop', 'etherpop', 'indie_pop', 'metropopolis']",high,Positive
Jake Wesley Rogers,2rj5WY52j0RQJWYxBNCRFT,Little Queen,0.506,0.622,7,-7.362,1,0.0339,0.041,1.02e-06,0.104,0.361,77.074,42,modern_alternative_pop,25,['modern_alternative_pop'],high,Negative
Rufus Wainwright,36BLqdTQ0JZ1tLdugTlCl9,Sword of Damocles,0.474,0.46,9,-8.163,1,0.0291,0.831,0.00554,0.0938,0.0902,105.002,52,canadian_pop chamber_pop melancholia piano_rock singer-songwriter,30,"['canadian_pop', 'chamber_pop', 'melancholia', 'piano_rock', 'singer-songwriter']",low,Neutral
River Westin,75MIDI4x2cEsKMG98c1UUE,The Lake - Acoustic Version,0.666,0.25,4,-12.248,1,0.0338,0.687,0.0,0.126,0.375,91.836,17,unknown,7,['unknown'],low,Neutral
Tom Goss,08pwsrjiqkhF4cge4S2CdD,Son of a Preacher Man,0.353,0.545,10,-7.665,0,0.0292,0.163,7.04e-05,0.0854,0.358,138.405,21,unknown,28,['unknown'],low,Neutral
a balladeer,4HPi4jEoavUKasQEvMb0EO,Let It Snow - Reprise,0.131,0.117,2,-18.642,1,0.0421,0.876,0.884,0.183,0.0398,145.326,40,dutch_indie dutch_pop dutch_rock,36,"['dutch_indie', 'dutch_pop', 'dutch_rock']",low,Neutral
a balladeer,5CnwaTCMe0oVBdlcJ1WVa7,Hat in Hand,0.5,0.357,4,-11.929,1,0.0271,0.78,9.88e-06,0.11,0.389,77.988,40,dutch_indie dutch_pop dutch_rock,17,"['dutch_indie', 'dutch_pop', 'dutch_rock']",low,Neutral
St. Vincent,2stcQY2OjzSIdk3I9Y1sCW,Slow Disco - piano version,0.457,0.16,2,-11.816,1,0.0422,0.889,0.0,0.133,0.165,109.84,62,art_pop electropop etherpop indie_pop metropopolis,38,"['art_pop', 'electropop', 'etherpop', 'indie_pop', 'metropopolis']",high,Negative
Jónsi,73hatfRwTBBoWNxKiq9GQW,Boy Lilikoi,0.443,0.839,10,-6.049,1,0.0558,0.164,0.00015,0.0616,0.305,144.903,48,icelandic_pop post-rock,29,"['icelandic_pop', 'post-rock']",low,Neutral
dodie,45h4w81P5iJJTSeR0jJUQ8,She,0.479,0.154,2,-15.051,1,0.0369,0.755,0.0261,0.11,0.232,92.457,60,alt_z indie_pop pop,67,"['alt_z', 'indie_pop', 'pop']",low,Neutral
Jay Brannan,3FDKxJ2LmNBqvynXbqJVSN,Imperfect Lover,0.714,0.183,5,-11.531,1,0.0402,0.894,0.0,0.129,0.538,120.925,27,acoustic_pop,6,['acoustic_pop'],low,Neutral
